NOME_COM_2,ISTAT_2017,NOME_PRO,POP_2017,POP_2014,VARIAZ_17_,SHAPE_AREA,SHAPE_LEN
GERMIGNAGA,"12076",VARESE,3886.00000000,3857.00000000,29.00000000,3879303.86534000002,13955.90115200000
USMATE VELATE,"108044",MONZA E DELLA BRIANZA,10211.00000000,10259.00000000,-48.00000000,9671983.44342000037,20458.75157160000
VAREDO,"108045",MONZA E DELLA BRIANZA,13335.00000000,13160.00000000,175.00000000,4893902.74165000021,13123.71569200000
VEDANO AL LAMBRO,"108046",MONZA E DELLA BRIANZA,7609.00000000,7535.00000000,74.00000000,1979747.50304999994,7409.71188192000
VEDUGGIO CON COLZANO,"108047",MONZA E DELLA BRIANZA,4356.00000000,4443.00000000,-87.00000000,3463683.05196999991,13085.77848960000
VIMERCATE,"108050",MONZA E DELLA BRIANZA,26062.00000000,25839.00000000,223.00000000,20618891.93400000036,37459.08412650000
GEMONIO,"12074",VARESE,2871.00000000,2880.00000000,-9.00000000,3681499.23712999979,10308.15600710000
BRIOSCO,"108011",MONZA E DELLA BRIANZA,6020.00000000,6010.00000000,10.00000000,6690579.09592999890,17350.01795830000
BRUGHERIO,"108012",MONZA E DELLA BRIANZA,34516.00000000,34315.00000000,201.00000000,10276721.66699999943,21722.00031840000
CUVIO,"12063",VARESE,1655.00000000,1674.00000000,-19.00000000,5865385.08777999971,15574.87476460000
CARATE BRIANZA,"108015",MONZA E DELLA BRIANZA,17860.00000000,17795.00000000,65.00000000,9946455.64627999999,20939.20735240000
CARNATE,"108016",MONZA E DELLA BRIANZA,7278.00000000,7348.00000000,-70.00000000,3531264.06205999991,14608.96820280000
CAVENAGO DI BRIANZA,"108017",MONZA E DELLA BRIANZA,7323.00000000,7245.00000000,78.00000000,4407318.44464000035,12802.98331190000
LAZZATE,"108025",MONZA E DELLA BRIANZA,7803.00000000,7787.00000000,16.00000000,5137227.74136999995,11002.03695550000
LISSONE,"108028",MONZA E DELLA BRIANZA,45233.00000000,44870.00000000,363.00000000,9332518.61120999977,21400.64888480000
MACHERIO,"108029",MONZA E DELLA BRIANZA,7432.00000000,7335.00000000,97.00000000,3277878.30756000010,13016.57256870000
GERENZANO,"12075",VARESE,10859.00000000,10789.00000000,70.00000000,9846232.88072000071,21958.93192620000
GOLASECCA,"12077",VARESE,2714.00000000,2736.00000000,-22.00000000,7470165.97589999996,13136.36823960000
GORLA MAGGIORE,"12078",VARESE,4983.00000000,5023.00000000,-40.00000000,5390146.09006999992,10908.32153490000
TRIUGGIO,"108043",MONZA E DELLA BRIANZA,8842.00000000,8763.00000000,79.00000000,8385831.04423000105,17943.80901220000
INDUNO OLONA,"12083",VARESE,10256.00000000,10354.00000000,-98.00000000,12358715.34779999964,20884.77359760000
ISPRA,"12084",VARESE,5283.00000000,5349.00000000,-66.00000000,13979380.84610000066,17203.36453580000
GORNATE OLONA,"12080",VARESE,2223.00000000,2245.00000000,-22.00000000,4708520.68678999972,13248.11775110000
GRANTOLA,"12081",VARESE,1288.00000000,1272.00000000,16.00000000,2051912.55669000000,10902.21596590000
JERAGO CON ORAGO,"12085",VARESE,5155.00000000,5238.00000000,-83.00000000,4006848.04560999991,10447.32748110000
BRAONE,"17027",BRESCIA,692.00000000,654.00000000,38.00000000,13418946.54470000044,23751.54354570000
BRENO,"17028",BRESCIA,4856.00000000,4891.00000000,-35.00000000,60126687.36450000107,55753.49121020000
BRIONE,"17030",BRESCIA,711.00000000,720.00000000,-9.00000000,6809053.12493999954,18943.73301150000
LONATE POZZOLO,"12090",VARESE,11839.00000000,11949.00000000,-110.00000000,28897927.61980000138,29910.24592950000
MORAZZONE,"12105",VARESE,4282.00000000,4269.00000000,13.00000000,5470424.79036999959,12989.66584320000
BRESCIA,"17029",BRESCIA,196670.00000000,196058.00000000,612.00000000,90514892.93639999628,57489.97962390000
MORNAGO,"12106",VARESE,5029.00000000,5045.00000000,-16.00000000,12326763.79130000062,19349.04197600000
INARZO,"12082",VARESE,1080.00000000,1091.00000000,-11.00000000,2452632.36212999979,8655.28502481000
MISINTO,"108032",MONZA E DELLA BRIANZA,5530.00000000,5454.00000000,76.00000000,5299574.57921000011,12375.29586850000
SEREGNO,"108039",MONZA E DELLA BRIANZA,44962.00000000,44500.00000000,462.00000000,12864380.96440000087,19438.68199700000
SOVICO,"108041",MONZA E DELLA BRIANZA,8347.00000000,8381.00000000,-34.00000000,3251100.32471999992,13401.03894620000
VILLASANTA,"108049",MONZA E DELLA BRIANZA,13898.00000000,13899.00000000,-1.00000000,4838148.56163999997,12643.91381520000
GORLA MINORE,"12079",VARESE,8401.00000000,8555.00000000,-154.00000000,7713853.55035999976,12777.35157780000
MARNATE,"12098",VARESE,7806.00000000,7686.00000000,120.00000000,4844930.82294999994,12088.54395230000
OGGIONA CON SANTO STEFANO,"12107",VARESE,4305.00000000,4275.00000000,30.00000000,2755034.70900999987,9162.13604522000
PORTO VALTRAVAGLIA,"12114",VARESE,2386.00000000,2391.00000000,-5.00000000,15884576.28779999912,22216.61381830000
OLGIATE OLONA,"12108",VARESE,12409.00000000,12410.00000000,-1.00000000,7345202.92891000025,15253.58392410000
BORGOSATOLLO,"17021",BRESCIA,9286.00000000,9249.00000000,37.00000000,8375006.19892999902,15863.48430130000
BOVEZZO,"17025",BRESCIA,7485.00000000,7485.00000000,0.00000000,6407599.42858000007,12205.03184360000
ORIGGIO,"12109",VARESE,7705.00000000,7693.00000000,12.00000000,8036636.03713999968,15832.26063340000
OSMATE,"12111",VARESE,820.00000000,805.00000000,15.00000000,3703228.27369999979,9413.20956044000
PORTO CERESIO,"12113",VARESE,2906.00000000,3004.00000000,-98.00000000,5569394.45096000005,12734.74963780000
MUGGIO`,"108034",MONZA E DELLA BRIANZA,23490.00000000,23421.00000000,69.00000000,5489567.35152999964,15423.11317970000
NOVA MILANESE,"108035",MONZA E DELLA BRIANZA,23275.00000000,23337.00000000,-62.00000000,5852116.26525999978,13973.71241570000
RONCO BRIANTINO,"108038",MONZA E DELLA BRIANZA,3476.00000000,3444.00000000,32.00000000,3002546.98192000017,10078.09196490000
VERANO BRIANZA,"108048",MONZA E DELLA BRIANZA,9264.00000000,9289.00000000,-25.00000000,3509790.60921999998,12456.18524770000
RANCIO VALCUVIA,"12115",VARESE,919.00000000,914.00000000,5.00000000,4442983.83007000014,17148.37602730000
SALTRIO,"12117",VARESE,3021.00000000,3041.00000000,-20.00000000,3439104.39084000001,8620.98042660000
SULZANO,"17182",BRESCIA,1932.00000000,1954.00000000,-22.00000000,10855879.49650000036,14714.51532220000
LAVENO - MOMBELLO,"12087",VARESE,8743.00000000,8901.00000000,-158.00000000,28049409.83300000429,24663.58738690000
LOZZA,"12091",VARESE,1259.00000000,1265.00000000,-6.00000000,1685853.63036999991,7436.18155944000
LEGGIUNO,"12088",VARESE,3820.00000000,3826.00000000,-6.00000000,15563373.18029999919,19867.87407050000
LAVENA PONTE TRESA,"12086",VARESE,5722.00000000,5632.00000000,90.00000000,4474009.85376999993,10826.72786630000
LUVINATE,"12093",VARESE,1322.00000000,1310.00000000,12.00000000,4172508.95942999981,12859.20507760000
RANCO,"12116",VARESE,1297.00000000,1305.00000000,-8.00000000,7926754.20830000006,14088.91116070000
LONATE CEPPINO,"12089",VARESE,5003.00000000,4941.00000000,62.00000000,4781068.69287000038,12416.96205770000
MALGESSO,"12095",VARESE,1310.00000000,1312.00000000,-2.00000000,2773524.28376000002,8865.61677997000
LUINO,"12092",VARESE,14664.00000000,14833.00000000,-169.00000000,20651944.86499999836,24514.02308780000
BOTTICINO,"17023",BRESCIA,10917.00000000,10945.00000000,-28.00000000,18560022.30449999869,20472.20874600000
CA` D`ANDREA,"19008",CREMONA,431.00000000,431.00000000,0.00000000,17130013.06839999929,24328.61162980000
TORBOLE CASAGLIA,"17186",BRESCIA,6562.00000000,6539.00000000,23.00000000,13384537.97829999961,21534.94477260000
SAN FELICE DEL BENACO,"17171",BRESCIA,3413.00000000,3391.00000000,22.00000000,21996855.42220000178,20876.24287510000
SAN ZENO NAVIGLIO,"17173",BRESCIA,4679.00000000,4686.00000000,-7.00000000,6185314.40192000009,14617.69388580000
SERLE,"17178",BRESCIA,3021.00000000,3063.00000000,-42.00000000,18564293.68409999833,21161.41487630000
CALVATONE,"19009",CREMONA,1217.00000000,1208.00000000,9.00000000,13542773.21979999915,21484.07851960000
CAPERGNANICA,"19012",CREMONA,2150.00000000,2152.00000000,-2.00000000,6810402.28706000000,16668.50414050000
CAPRALBA,"19015",CREMONA,2347.00000000,2417.00000000,-70.00000000,13399511.72269999795,21593.72243800000
CAPPELLA CANTONE,"19013",CREMONA,576.00000000,566.00000000,10.00000000,13173534.95810000040,31914.52634590000
BORDOLANO,"19007",CREMONA,617.00000000,622.00000000,-5.00000000,8191993.16036000010,16392.11804660000
CASALETTO CEREDANO,"19018",CREMONA,1172.00000000,1187.00000000,-15.00000000,6482248.27338000014,14266.07913040000
BONEMERSE,"19006",CREMONA,1520.00000000,1528.00000000,-8.00000000,5877348.87717000023,14239.45424940000
CASALE CREMASCO - VIDOLASCO,"19017",CREMONA,1874.00000000,1907.00000000,-33.00000000,9034759.78068999946,23449.36411690000
CASALETTO DI SOPRA,"19019",CREMONA,557.00000000,574.00000000,-17.00000000,8575199.36580999941,17587.51057060000
CASALMAGGIORE,"19021",CREMONA,15376.00000000,15402.00000000,-26.00000000,64233274.35779999942,59790.15448550000
BAGNOLO CREMASCO,"19005",CREMONA,4846.00000000,4814.00000000,32.00000000,10383290.74039999954,21731.00072480000
VILLA BISCOSSI,"18178",PAVIA,77.00000000,73.00000000,4.00000000,4986428.21052999981,11197.52158640000
VILLANOVA D`ARDENGHI,"18179",PAVIA,770.00000000,779.00000000,-9.00000000,6047878.08894999977,12502.22607630000
ZECCONE,"18185",PAVIA,1697.00000000,1747.00000000,-50.00000000,5521593.85955000017,11487.20697640000
CASALBUTTANO ED UNITI,"19016",CREMONA,3907.00000000,3969.00000000,-62.00000000,23181695.37670000270,35732.33523780000
PADERNO PONCHIELLI,"19065",CREMONA,1434.00000000,1460.00000000,-26.00000000,23925768.14259999618,29830.53390810000
PANDINO,"19067",CREMONA,9015.00000000,8984.00000000,31.00000000,22184657.87319999933,24315.45694780000
PIADENA,"19071",CREMONA,3455.00000000,3589.00000000,-134.00000000,19791048.21669999883,29625.31604160000
PIERANICA,"19073",CREMONA,1168.00000000,1182.00000000,-14.00000000,2756158.44552000007,10890.50115750000
TAVERNOLE SUL MELLA,"17183",BRESCIA,1277.00000000,1330.00000000,-53.00000000,19881487.09299999848,25070.76281000000
TEMU`,"17184",BRESCIA,1108.00000000,1103.00000000,5.00000000,43319955.48380000144,42546.41684150000
MARZIO,"12099",VARESE,352.00000000,328.00000000,24.00000000,1924075.10382999992,6498.16667650000
MASCIAGO PRIMO,"12100",VARESE,300.00000000,298.00000000,2.00000000,1850291.13201999990,9244.77145893000
MESENZANA,"12102",VARESE,1523.00000000,1495.00000000,28.00000000,4842181.47628000006,14007.73620300000
MERCALLO,"12101",VARESE,1810.00000000,1853.00000000,-43.00000000,5348669.08822000027,12122.04988470000
MALNATE,"12096",VARESE,16768.00000000,16912.00000000,-144.00000000,8930671.17799000069,16074.26379440000
MARCHIROLO,"12097",VARESE,3460.00000000,3462.00000000,-2.00000000,5336733.63305999991,13703.63925520000
MONTEGRINO VALTRAVAGLIA,"12103",VARESE,1472.00000000,1501.00000000,-29.00000000,10145310.75879999995,16792.53933780000
MONVALLE,"12104",VARESE,1931.00000000,2009.00000000,-78.00000000,3414480.52239000006,10525.31635930000
BORGO SAN GIACOMO,"17020",BRESCIA,5411.00000000,5512.00000000,-101.00000000,29286102.96939999610,35781.52513560000
BOVEGNO,"17024",BRESCIA,2182.00000000,2253.00000000,-71.00000000,47854225.61360000074,44533.20663380000
BORNO,"17022",BRESCIA,2606.00000000,2644.00000000,-38.00000000,30534282.71279999986,30381.91862830000
MONTIRONE,"17114",BRESCIA,5131.00000000,5211.00000000,-80.00000000,10531936.24469999969,16354.93935940000
PAVONE DEL MELLA,"17137",BRESCIA,2801.00000000,2792.00000000,9.00000000,11698263.34740000032,18604.32668760000
PERTICA ALTA,"17139",BRESCIA,566.00000000,571.00000000,-5.00000000,20898828.36120000109,29777.77460440000
TREVISO BRESCIANO,"17191",BRESCIA,537.00000000,549.00000000,-12.00000000,17816384.73919999972,22854.62270440000
ACQUANEGRA SUL CHIESE,"20001",MANTOVA,2935.00000000,2978.00000000,-43.00000000,28307485.00189999491,37350.94647970000
PERTICA BASSA,"17140",BRESCIA,638.00000000,655.00000000,-17.00000000,30140722.26999999955,27091.15179230000
SABBIO CHIESE,"17168",BRESCIA,3904.00000000,3918.00000000,-14.00000000,18348803.64950000122,23006.59901880000
PALAZZOLO SULL`OGLIO,"17133",BRESCIA,20062.00000000,20088.00000000,-26.00000000,23014578.79659999907,33437.80023350000
MUSCOLINE,"17116",BRESCIA,2645.00000000,2640.00000000,5.00000000,10123739.08129999973,18187.81961540000
NUVOLENTO,"17119",BRESCIA,3962.00000000,3986.00000000,-24.00000000,7440422.20536999963,18697.53197910000
ASOLA,"20002",MANTOVA,10093.00000000,10184.00000000,-91.00000000,73561332.17970000207,58957.52111970000
DESENZANO DEL GARDA,"17067",BRESCIA,28856.00000000,28312.00000000,544.00000000,60709414.48009999096,40070.85739750001
ERBUSCO,"17069",BRESCIA,8640.00000000,8660.00000000,-20.00000000,16213326.04710000195,25431.82689080000
PEZZAZE,"17141",BRESCIA,1503.00000000,1520.00000000,-17.00000000,21598294.92130000144,27164.39526380000
PONTEVICO,"17149",BRESCIA,7090.00000000,7162.00000000,-72.00000000,29238483.00809999928,28996.34337230000
BAGNOLO SAN VITO,"20003",MANTOVA,5963.00000000,6000.00000000,-37.00000000,48849040.44870000333,45938.12148330000
FIESSE,"17071",BRESCIA,2047.00000000,2096.00000000,-49.00000000,16114928.15819999948,23414.03330680000
POZZOLENGO,"17151",BRESCIA,3537.00000000,3469.00000000,68.00000000,21327532.96519999951,25604.93974610000
PRALBOINO,"17152",BRESCIA,2942.00000000,2992.00000000,-50.00000000,17229850.62510000169,21613.66753980000
CASTELCOVATI,"17041",BRESCIA,6599.00000000,6611.00000000,-12.00000000,6175602.40706000011,12930.87754550000
CIGOLE,"17053",BRESCIA,1584.00000000,1577.00000000,7.00000000,9972263.03491000086,18834.75541780000
PIAN CAMUNO,"17142",BRESCIA,4673.00000000,4622.00000000,51.00000000,10971285.96770000085,20372.00452940000
PRESEGLIE,"17153",BRESCIA,1545.00000000,1520.00000000,25.00000000,11455010.75019999966,16622.46046910000
CIMBERGO,"17054",BRESCIA,546.00000000,547.00000000,-1.00000000,24561265.89359999821,27677.63978880000
GAMBARA,"17073",BRESCIA,4755.00000000,4700.00000000,55.00000000,31589988.98250000551,33071.18613280000
COCCAGLIO,"17056",BRESCIA,8681.00000000,8772.00000000,-91.00000000,11998263.87790000066,18782.87426280000
PROVAGLIO D`ISEO,"17156",BRESCIA,7394.00000000,7320.00000000,74.00000000,16211494.20910000056,23596.21576300000
NUVOLERA,"17120",BRESCIA,4732.00000000,4685.00000000,47.00000000,13290399.14570000209,20539.68652970000
ODOLO,"17121",BRESCIA,1971.00000000,2017.00000000,-46.00000000,6493764.98412000015,12123.89045480000
ORZIVECCHI,"17126",BRESCIA,2477.00000000,2524.00000000,-47.00000000,9887489.11731000058,20218.33533680000
OSPITALETTO,"17127",BRESCIA,14610.00000000,14362.00000000,248.00000000,9275587.59508999996,16695.52511430000
PADERNO FRANCIACORTA,"17130",BRESCIA,3695.00000000,3763.00000000,-68.00000000,5560575.03029000014,12260.52037920000
CIVIDATE CAMUNO,"17055",BRESCIA,2735.00000000,2703.00000000,32.00000000,3292536.61726000020,9708.22064225000
COLLEBEATO,"17057",BRESCIA,4637.00000000,4692.00000000,-55.00000000,5359360.81778999977,10517.25501500000
COLOGNE,"17059",BRESCIA,7609.00000000,7653.00000000,-44.00000000,13888247.57709999941,20312.96461510000
CELLATICA,"17048",BRESCIA,4937.00000000,4999.00000000,-62.00000000,6572413.53779000044,14507.17611860000
CHIARI,"17052",BRESCIA,18856.00000000,18813.00000000,43.00000000,37986984.98950000107,35772.99624940000
COLLIO,"17058",BRESCIA,2148.00000000,2128.00000000,20.00000000,53486374.96419999748,35608.39006020000
ESINE,"17070",BRESCIA,5262.00000000,5337.00000000,-75.00000000,30357116.09499999881,29531.76669500000
PONTE DI LEGNO,"17148",BRESCIA,1726.00000000,1748.00000000,-22.00000000,100452238.41899999976,61787.20727060000
CORTENO GOLGI,"17063",BRESCIA,1951.00000000,1978.00000000,-27.00000000,82780909.60850000381,41621.20111530000
DARFO BOARIO TERME,"17065",BRESCIA,15530.00000000,15627.00000000,-97.00000000,36256517.35180000216,41052.54785780000
PISOGNE,"17143",BRESCIA,7936.00000000,8055.00000000,-119.00000000,49325835.24650000036,35984.96197130000
PROVAGLIO VAL SABBIA,"17157",BRESCIA,912.00000000,925.00000000,-13.00000000,14902412.31839999929,20204.17466240000
REMEDELLO,"17160",BRESCIA,3384.00000000,3380.00000000,4.00000000,21371175.05270000175,24631.41779610000
POLAVENO,"17144",BRESCIA,2520.00000000,2592.00000000,-72.00000000,9151185.89675999992,16233.14129340000
ROCCAFRANCA,"17162",BRESCIA,4824.00000000,4912.00000000,-88.00000000,19543271.12539999932,30433.93170920000
SOIANO DEL LAGO,"17180",BRESCIA,1895.00000000,1880.00000000,15.00000000,5780384.04880999960,12485.78237050000
TOSCOLANO MADERNO,"17187",BRESCIA,7969.00000000,8083.00000000,-114.00000000,57596010.85029999912,36691.84808400000
PIEVE D`OLMI,"19074",CREMONA,1291.00000000,1323.00000000,-32.00000000,19318111.82510000095,29004.31017870000
PIZZIGHETTONE,"19076",CREMONA,6501.00000000,6593.00000000,-92.00000000,31981344.85929999873,32214.98091450000
TREMOSINE SUL GARDA,"17189",BRESCIA,2119.00000000,2124.00000000,-5.00000000,72844983.58349999785,42147.72682770000
TIGNALE,"17185",BRESCIA,1232.00000000,1274.00000000,-42.00000000,45626502.80030000210,31215.80826890000
COMEZZANO - CIZZAGO,"17060",BRESCIA,3869.00000000,3783.00000000,86.00000000,15625876.11500000022,26776.91507480000
TORLINO VIMERCATI,"19105",CREMONA,469.00000000,472.00000000,-3.00000000,5676947.77878000028,16006.84501970000
POLPENAZZE DEL GARDA,"17145",BRESCIA,2623.00000000,2610.00000000,13.00000000,9116645.98082000017,19855.49050850000
POMPIANO,"17146",BRESCIA,3816.00000000,3882.00000000,-66.00000000,15184702.62409999780,26326.67058650000
TRIGOLO,"19110",CREMONA,1731.00000000,1744.00000000,-13.00000000,16160757.50229999796,25252.93998290000
VAILATE,"19112",CREMONA,4574.00000000,4596.00000000,-22.00000000,9783805.69690999947,15787.59538620000
VOLONGO,"19114",CREMONA,525.00000000,535.00000000,-10.00000000,7993318.77366000041,16259.08588090000
CARPENEDOLO,"17039",BRESCIA,12957.00000000,12976.00000000,-19.00000000,30245869.38399999961,25253.84464680000
CASTEL MELLA,"17042",BRESCIA,10993.00000000,11077.00000000,-84.00000000,7512081.95445000101,14889.76342830000
CASTENEDOLO,"17043",BRESCIA,11443.00000000,11411.00000000,32.00000000,26282097.00259999558,27624.37851010000
CASTREZZATO,"17045",BRESCIA,7139.00000000,7095.00000000,44.00000000,13689018.50009999797,21061.13447430000
CORTE FRANCA,"17062",BRESCIA,7262.00000000,7220.00000000,42.00000000,14012241.99379999936,20918.77266330000
MACLODIO,"17097",BRESCIA,1476.00000000,1467.00000000,9.00000000,5063851.80173000041,15436.20327470000
PASPARDO,"17135",BRESCIA,617.00000000,621.00000000,-4.00000000,11216790.72619999945,15603.29963880000
PASSIRANO,"17136",BRESCIA,7052.00000000,7141.00000000,-89.00000000,13513847.50369999930,31095.73629540000
SOLAROLO RAINERIO,"19096",CREMONA,934.00000000,978.00000000,-44.00000000,11388672.54010000080,24442.49064400000
TICENGO,"19104",CREMONA,443.00000000,445.00000000,-2.00000000,8040391.48347000033,22427.30642980000
SAN MARTINO DEL LAGO,"19091",CREMONA,438.00000000,443.00000000,-5.00000000,10447384.01139999926,16801.93813710000
